wowday,wowdate,wowinfo
31,0,"Nothing really happened, wow-related, at the 31st of any month. Oh well!"
2,2001,"September 2001: The game, World of Warcraft, was announced at London European Computer Trade Show.
"
18,2004,"December 2004: Patch 1.2.0 is released, adding the Maraudon Dungeon, the Gurubashi Arena, and the Feast of Winter Veil Christmas event."
23,2004,"November 2004: World of Warcraft launches in North America, Australia, and New Zealand. To give a general idea of what classic was: The starting level cap for players was level 60. The starting races were Human, Dwarf, Night Elf, Gnome, Orc, Troll, Undead, and Tauren. The starting classes were Druid, Hunter, Priest, Rogue, Warrior, Warlock (Shaman for Horde and Paladin for Alliance). And the only raids in the game were Onyxias Lair and Molten Core."
24,2004,"November 2004: WowWiki, a great source of information for anything WoW-related, launches."
7,2005,"June 2005: World of Warcraft launched in China, alongside with Patch 1.5.0. This patch includes the introduction of battlegrounds with Warsong Gulch and Alterac Valley."
7,2005,"March 2005: Patch 1.3.0 is released, adding the Dire Maul dungeon, new outdoor raid bosses Azuregos and Lord Kazzak, meeting stones to summon players, and player caps on dungeons/raids."
8,2005,"April 2005: Patch 1.4.0 is released, adding the Player versus Player battle system (implementing rankings based on performances), Children's Week event, Elemental invasions and the Gurubashi Arena event."
10,2005,"October 2005: Patch 1.8.0 is released, fixing the corrupted blood debuff, while adding the Dragons of Nightmare and the Abyssal High Council world bosses, the Hallow`s End Halloween event, and the Stirring of the Silithid event.
"
11,2005,"May 2005: The guild PalsForLife uploaded a video to the World of Warcraft fansite, Warcraft Movies. In the video, you can see the guild discussing battle strategies when suddenly a paladin named Leeroy Jenkins charged into the area, wiping the group. This was the start of the LEEEROOYYYYYYYY JENKINS meme."
11,2005,"February 2005: World of Warcraft launches in Europe."
12,2005,"July 2005: Patch 1.6.0 is released, adding the Blackwing Lair raid instance, the introduction of the carnival-esque darkmoon faire, and Battlemasters, which were an easier way to enter the battleground queues."
13,2005,"September 2005: Patch 1.7.0 is released, adding the Zul'Gurub raid instance, the Arathi Basin battleground, and the Stranglethorn Fishing Extravaganza event. Yet, something was starting to occur as a result of a glitch in Zul'Gurub."
15,2005,"September 2005: The Corrupted Blood incident occurred. The corrupted blood debuff, which originated from Hakkar the Soulflayer in the Zul'Gurub raid instance, would periodically sap a player's life and would spread to other players. The glitch occurred when a player's pet would get the debuff and would retain the debuff as it was summoned in highly populated areas and cities, spreading the debuff and killing thousands of characters. Think virus epidemic but much cooler and online."
16,2005,"November 2005: World of Warcraft is featured in a question on the game show, Jeopardy! None of the three players knew the answer, or even tried to guess.
"
18,2005,"January 2005: World of Warcraft launches in South Korea!"
18,2005,"August 2005: The World of Warcraft Trading Card Game (WoW TCG) was announced by Upper Deck Entertainment."
23,2005,"November 2005: The popular news site and blog, WoW Insider was launched."
23,2005,"March 2005: The first legendary item appears to players in the game. The legendary neck piece,[Talisman of Binding Shard], drops in the Molten Core raid, but was immediately hotfixed out of the game."
25,2005,"April 2005: The guild Ascent-US accomplishes a World-First and slays Ragnaros the Fire Lord in Molten Core. He was taken from us too soon, Executus."
26,2005,"April 2005: World of Warcraft open beta test launches in China, with 100,000 players signing up in the first hour of registration."
26,2005,"September 2005: The son of Deathwing, Nefarian, was slain by the guild Drama, from Shattered Hand-US, for the first time in his Blackwing Lair."
28,2005,"October 2005: The first ever Blizzcon took place at the Anaheim Convention Center, California. It was at this convention where the Burning Crusade expansion was announced. Attendees of the convention received a beta key for the Burning Crusade expansion, alongside with a "Murky" battle pet."
28,2005,"March 2005: Patch 1.10.0 is released, adding weather effects to areas around Azeroth, linked flight paths, and upgrades to armor sets.
"
29,2005,"October 2005: The first ever Blizzcon took place at the Anaheim Convention Center, California. It was at this convention where the Burning Crusade expansion was announced. Attendees of the convention received a beta key for the Burning Crusade expansion, alongside with a "Murky" battle pet."
30,2005,"January 2005: Onyxia falls at the hands of the guild Ruined, from Proudmoore-US, marking today as the first raid boss kill in the game."
3,2006,"January 2006: Patch 1.9.0 is released, adding the Gates of Ahn'Qiraj world event (which unlocked the Ruins/Temple of Ahn'Qiraj dungeon and raid, respectively), multiple battleground queues, raid calendar timers/resets, and faction-linked auction houses."
4,2006,"October 2006: South Park features a Warcraft-themed episode, Make Love, not Warcraft."
5,2006,"December 2006: Patch 2.0.1 is released, adding a looking for group interface tool, an honor system revamp for PvP, and PvP arenas."
7,2006,"July 2006: The Wowhead website launched."
7,2006,"September 2006: The floating necropolis Naxxramas loses its master, Kel'Thuzad, at the hands of Nihilum from Magtheridon-EU. He shall return though."
14,2006,"December 2006: The Burning Crusade cinematic trailer is released."
20,2006,"June 2006: Patch 1.11.0 is released, adding a sixth bag slot which held a number of keys and the naxxramus raid instance, alongside the scourge invasion event."
22,2006,"August 2006: Patch 1.12.0 is released, adding cross-realm battlegrounds and world PvP objectives.
"
23,2006,"January 2006: Medivh-US becomes the first server to open the Gates of Ahn'Qiraj."
25,2006,"October 2006: The World of Warcraft Trading Card Game was officially released! Players can fight against each other one-on-one, or can join others in order to defeat dungeon/raid bosses based on those in the MMORPG. These card packs also could contain a redeemable in-game mount, if you are lucky."
25,2006,"April 2006: The Elder God of Horror, C'Thun, was ended by the guild Nihilum, from Magtheridon-EU, accomplishing a World-First. His whispers soon end throughout the halls of Ahn'Quiraj."
25,2006,"March 2006: World of Warcraft player Deluthor creates a Flash animation to accompany the audio recording of the guild Wipe Club and their rather boisterous leader Dives. This is where the -50 DKP meme originated from."
30,2006,"April 2006: the WoWRP website, which is a community driven website for people playing on role-play servers, is launched."
3,2007,"August 2007: Blizzcon takes place in the Anaheim Convention Center, California. It was this convention where the Wrath of the Lich King expansion was announced. Attendees were given a beta key to an upcoming Blizzard game and a special in-game murloc suit."
3,2007,"February 2007: Gruul the Dragonslayer was....slayed in his own lair by the hands on Nihilum from Magtheridon-EU. Man Nihilum was on a roll."
4,2007,"August 2007: Blizzcon takes place in the Anaheim Convention Center, California. It was this convention where the Wrath of the Lich King expansion was announced. Attendees were given a beta key to an upcoming Blizzard game and a special in-game murloc suit."
5,2007,"June 2007: Illidan Stormrage was not prepared to deal with Nihilum from Magtheridon-EU and fell from the top of the Black Temple."
9,2007,"January 2007: Patch 2.0.3 is released, adding the pre-expansion event, the Dark Portal Opens, where Highlord Kruul begins attacking places in Azeroth."
9,2007,"June 2007: The decisive Battle of Mount Hyjal ends with Archimonde, as Nihilum of Magtheridon-EU has slain one of the top-ranked commanders of the Burning Legion."
13,2007,"November 2007: Patch 2.3.0 is released, adding the Zul'Aman raid instance, guild banks, revamps to Alterac Valley, Level 11-60 leveling improvements, and the Mudsprocket quest hub at Dustwallow Marsh."
16,2007,"January 2007: The Burning Crusade expansion is released! The level cap was raised to 70, the area of Outland was added, and the Draenei and Blood Elf races were added. Shaman and Paladins became available for both factions, as heroic mode instances and the Eye of the Storm battleground was added."
16,2007,"January 2007: The launch of the expansion was plagued by server crashes and a huge percentage of the player base questing in Hellfire Peninsula, all at the same time. Yet this expansion is marked by selling nearly 2.4 million copies in the first 24 hours, becoming the fastest-selling PC game ever!"
17,2007,"January 2007: Gawell of the Millenium guild, from Archimonde-EU, reached level 70 for the first time ever. It took him a total of 28 hours and no sleep to accomplish this."
20,2007,"November 2007: Blizzard advertises World of Warcraft on television with ads featuring William Shatner as a Shaman and most notably Mr. T talking about his Night Elf Mohawk."
22,2007,"May 2007: Patch 2.1.0 is released, adding the Black Temple raid instance, multiple faction reputations, and the Ruins of Lordaeron Arena."
24,2007,"February 2007: The demon Magtheridon returns to the Twisting Nether at the hands of Nihilium from Magtheridon-EU."
25,2007,"May 2007: Pretty sure Tempest Keep was merely a setback, but Kael'thas Sunstrider loses his life to Nihilum of Magtheridon-EU, claiming another World-First kill."
27,2007,"September 2007: Patch 2.2.0 is released, adding voice chat functionality."
29,2007,"March 2007: Nihilum shows their dominance once more and ends Lady Vashj`s reign within the Serpentshrine Cavern, accomplishing yet another World-First kill."
3,2008,"April 2008: The server Proudmoore-US becomes the first server to complete the Shattered Sun Offensive."
5,2008,"August 2008: World of Warcraft`s Recruit-a-Friend program is introduced, granting awards to whoever brings their friends into the world of Azeroth."
6,2008,"August 2008: World of Warcraft launches in Russia, along with the Burning Crusade expansion."
10,2008,"November 2008: The undead Scourge begin to attack Stormwind City and Orgimmar on a regular basis. These attacks seem too coordinated, as if they are just mindless soldiers following their kings orders."
13,2008,"November 2008: The fabled Wrath of the Lich King expansion is released! The level cap for all players is increased to 80, as the icey realms of Northrend can now be visited/explored. Alongside 2 new battlegrounds, a bunch of new dungeons, and 2 returning (but updated) raids, the new Death Knight class was introduced."
14,2008,"October 2008: Patch 3.0.2 is released, adding a 61-point talent tree system, the inscription profession, an achievement system, the barber shop feature to change ones appearances, and the second scourge invasion event (the first being in patch 1.11 that heralded the opening of Naxxramas). In preparation for Wrath of the Lich King, original Naxxramas raid and the city of Dalaran was removed, Alliance boats were rerouted, Stormwind Harbor was added, and New Horde Zeppelin Towers were added."
15,2008,"September 2008: The Wrath of the Lich King finally gets a released date for November, 13th 2008."
15,2008,"November 2008: Malygos, one of the few remaining dragons of the Blue Dragonflgiht, falls into the endless abyss by Ensidia of Tarren Mill-EU."
15,2008,"November 2008: Kel'Thuzad`s return is met with the same fate, as the guild Ensidia from Tarren Mill-EU clears the Return of the Floating Necropolis.
"
15,2008,"July 2008: Patch 2.4.3 is released, reducing the level required to ride mounts to level and adding items sold by Haris Pilton (including a 22 slog bag)."
17,2008,"July 2008: Wrath of the Lich King beta tests commence."
21,2008,"August 2008:The Wrath of the Lich King cinematic is released."
23,2008,"October 2008: The Zombie Infestation begins the start of the Second Scourge Invasion. Think corrupted blood incident but on purpose."
23,2008,"November 2008: Any players logging onto World of Warcraft are awarded a [Baby Blizzard Bear] pet and the Achievement "WoWs 4th Anniversary"."
25,2008,"October 2008: The Zombie Infestation looks pretty bad right now. Capital cities are the main target for the zombies, but the NPCs should have no problem dealing with them...At least that is what i keep hearing. You do not see much leveling these days. I mean who would ever want to go out at a time like this. I am sure the Heroes of Azeroth are coming up with a plan."
25,2008,"March 2008: Patch 2.4.0 is released, adding the Isle of Quel'Danas area, the Magister`s Terrace dungeon, the Sunwell Plateau raid instance and the Shattered Sun Offensive."
25,2008,"May 2008: The Deceiver, Kil'Jaeden falls within the Sunwell Plateau, with the aid of SK Gaming of Vek'nilash-EU. This is one of the few times, at least during/before the Burning Crusade, where Nihilium was not the first guild to beat the final boss."
26,2008,"October 2008: The Zombie Infestation only gets worse. Feels like 28 weeks later in the span of 3 days. Every capital city is full of mindless walkers, as the people are walled onto secluded areas of Azeroth, fighting for survival. Even if you do not see rampaging hordes, you see skeletons of the fallen, covering up roads and farmlands. Its only a matter of time before it all ends."
27,2008,"October 2008: The Zombie Infestation officially ends, as life goes back to the way it was. "
30,2008,"June 2008: The original Authenticators become available in the Blizzard store. These served as an extra layer of protection for ones World of Warcraft account."
2,2009,"September 2009: The Faction Change service started to be offer."
4,2009,"August 2009: Patch 3.2.0 is released, adding the Crusaders` Coliseum dungeon, the Isle of Conquest battleground, and continues the Argent Tournament story line. The instance lock extension was added to the game, giving players the option to not reset the raid each week, and players can not access/buy mounts at level 20."
5,2009,"June 2009: Algalon the Observer changes the fate of our World at the base of Ulduar, thanks to the couragous actions of Ensidia from Tarren Mill-EU."
6,2009,"June 2009: World of Warcraft shuts down in China....huh. that happens."
8,2009,"December 2009: Patch 3.3.0 is released, adding the Icecrown Citadel raid (at least the BONESTORM-filled lower depths section of the raid), as well as the Frozen Halls dungeon. With the opening of this amazing dungeon, the dungeon finder was improved and cross-server instance grouping was implemented."
8,2009,"July 2009: The Traitor King of the Nerubians, Anub'arak, falls shortly at the hands of Paragon from Lightning Blade-EU beneath the Trial of the Crusader arena."
14,2009,"April 2009: Patch 3.1.0 is released, adding the Ulduar raid instance and the Argent Tournament. Along with typical class changes, dual talent specialization was introduced."
16,2009,"April 2009: Blizzard announces that they are changing their Chinese licensee from The9 to NetEase....for some reason."
16,2009,"May 2009: Blizzard, in partnership with Pepsi, commenced the Mountain Dew "Choose Your Side" game fuel. This was essentially 2 new mountain dew flavors for the WoW major factions: wild berry for Alliance and citrus cherry for Horde."
19,2009,"September 2009: World of Warcraft relaunches in China under its new licensee, NetEase."
20,2009,"August 2009: The Mountain Dew "Choose Your Side" promotion unfortunately ends. But on the bright side, the World of Warcraft: The Magazine was announced."
21,2009,"August 2009: Blizzcon takes place in the Anaheim Convention Center, California. It was this convention where the Cataclysm expansion was announced. Attendees were given Grunty, the Murloc Space Marine."
22,2009,"September 2009: Patch 3.2.2 is released, revamping the Onyxia raid boss in celebration of WoW`s 5th anniversary!"
22,2009,"November 2009: All players who logged on are awarded the [Onyxian Whelpling] pet and the achievement "WoW`s 5th Anniversary"."
22,2009,"August 2009: Blizzcon takes place in the Anaheim Convention Center, California. It was this convention where the Cataclysm expansion was announced. Attendees were given Grunty, the Murloc Space Marine."
27,2009,"October 2009: The Race Change service started to be offered.
"
29,2009,"April 2009: WoW Insider heard rumors of a guild that had just cleared Naxxramas was savagely killing bosses in Ulduar in record times. Looking more into this, apparently a user named Karatechop was mistakenly-mailed a Game Master artifact called [Martin Fury] which can kill enemies within a 30 yard radius. In using this item, this was considered an exploit and the player was ultimately banned."
1,2010,"November 2010: Phase 1 of Elemental Unrest has commenced. The Elements have been disturbed and have started attacking Stormwind, Orgimmar, Ironforge, and Thunder Bluff, destroying the land and capturing citizens. Cultists have appeared and set up camp in areas, spouting doom and gloom."
2,2010,"March 2010: The guild Ensidia was able to slay the Lich King for the first time! Yet, due to the use of saronite bombs and applying siege damage to the platform, this world first was considered an exploit and ultimately did not count. This exploit becomes the most controversial topic in all of WoW, as the guild was not fully aware of what they were doing."
2,2010,"February 2010: Patch 3.3.2 is released, opening the final wing of Icecrown Citadel, the Frostwing Halls. The Lich King awaits!"
3,2010,"May 2010: The Friends & Family phase of the World of Warcraft: Cataclysm alpha begins.
"
5,2010,"January 2010: Good News Everyone! The Plagueworks of Icecrown Citadel opens. Professor Putricide awaits!"
6,2010,"November 2010: Blizzcon 2015 takes place in the Anaheim Convention Center, California. Previews of Legion content were covered in panels on the main stage as the expansion is still being made, but the most important part of this convention was the release of the Legion cinematic. Attendees received a goodie bag, rewarding a [Murkidan] mini-pet which resembles Illidan Stormrage."
6,2010,"July 2010: Blizzard announces their intention to have Real ID names visible when posting on the official forums. This resulted in a massive outcry against the idea, based primarily on concerns about privacy issues and potential harassment."
7,2010,"September 2010: The first in-game events, leading up to the Cataclysm expansion, begins. The Alliance got to take back the fallout-induced halls of the gnome capital in Operation: Gnomeregan, while the Horde and the Darkspear tribe, led by Voljin, got to take back the Echo Isles from the evil witch doctor in Zalazane`s Fall."
7,2010,"October 2010: World of Warcraft reaches 12 million players, for the first time and the all time record."
7,2010,"November 2010: Blizzcon 2014 takes place in the Anaheim Convention Center, California. Since the expansion is pretty close to release, there is not much news for WoW this time around. The convention focuses on their new IP, Overwatch and the movie "Looking for Group". Attendees still got a goodie bag, including the [Grommloc] mini-pet, which resembles Grommosh Hellscream."
7,2010,"December 2010: World of Warcraft: Cataclysm is released. The player level cap is raised to 85, the archaeology profession is added, and new races are added: the worgen and goblin. Instead of introducing a new continent, several zones were updated across azeroth. They also added new areas, Mount Hyjal, Uldum, Vash'jir, Tol Barad, Gilneas, Deepholm, and Twilight Highlands. And of course new dungeons, raids, my body, feel the strength of the EARTH!"
